timestamp,value,axis
113841,-0.0216217041015625,x
113841,-0.9361572265625,z
113841,-0.347412109375,y
113843,-0.0005340576171875,x
113844,-0.949127197265625,z
113844,-0.3087005615234375,y
113846,0.08221435546875,x
113846,-0.8428955078125,y
113848,-0.2716827392578125,z
113849,0.085845947265625,x
113849,-0.2244873046875,y
113851,-1.088592529296875,z
113852,0.0850067138671875,x
113852,-0.948883056640625,y
113854,-0.1320648193359375,z
113855,0.0246124267578125,x
113855,-0.0843353271484375,y
113857,-1.0257415771484375,z
113858,0.1439361572265625,x
113858,-0.49169921875,y
113900,-0.490203857421875,z
