Timestamp, Temperature, Humidity
2024-08-01T15:21:54.060637, 22.399999618530273,
2024-08-01T15:21:54.114659, , 44.0
2024-08-01T15:21:57.063823, 22.5,
2024-08-01T15:21:59.066705, 22.399999618530273,
2024-08-01T15:22:08.134506, 22.299999237060547,
2024-08-01T15:22:14.154097, , 45.0
2024-08-01T15:22:15.194260, 22.399999618530273,
2024-08-01T15:22:16.169151, , 46.0
2024-08-01T15:22:17.223534, 22.299999237060547,
2024-08-01T15:22:18.183559, , 48.0
2024-08-01T15:22:22.387114, 22.399999618530273,
2024-08-01T15:22:23.392728, , 51.0
2024-08-01T15:22:25.399276, 22.299999237060547,
2024-08-01T15:22:26.405910, , 55.0
2024-08-01T15:22:27.412030, 22.399999618530273,
2024-08-01T15:22:28.415743, , 58.0
2024-08-01T15:22:29.417732, , 61.0
2024-08-01T15:22:30.432264, 22.5,
2024-08-01T15:22:31.445184, , 64.0
2024-08-01T15:22:32.460345, , 62.0
2024-08-01T15:22:35.533475, , 60.0
2024-08-01T15:22:36.534055, , 57.0
2024-08-01T15:22:38.611032, , 55.0
2024-08-01T15:22:40.693702, , 53.0
2024-08-01T15:22:43.834378, , 52.0
2024-08-01T15:22:47.987200, , 50.0
2024-08-01T15:22:48.989077, , 49.0
2024-08-01T15:22:55.337221, , 48.0
2024-08-01T15:22:56.346509, 22.600000381469727,
2024-08-01T15:22:57.350091, , 47.0
2024-08-01T15:22:58.350296, 22.5,
2024-08-01T15:22:59.365238, , 51.0
2024-08-01T15:23:01.376902, , 55.0
2024-08-01T15:23:02.387054, , 58.0
2024-08-01T15:23:03.394571, 22.600000381469727,
2024-08-01T15:23:04.409493, , 57.0
2024-08-01T15:23:05.413692, , 55.0
2024-08-01T15:23:06.415170, , 54.0
2024-08-01T15:23:08.436805, , 53.0
2024-08-01T15:23:10.507353, 22.5,
2024-08-01T15:23:11.512735, , 52.0
2024-08-01T15:23:12.527637, 22.600000381469727,
2024-08-01T15:23:13.528334, , 51.0
2024-08-01T15:23:14.532038, 22.5,
Timestamp, Temperature, Humidity
2024-08-05T11:32:42.311916, 20.299999237060547,
2024-08-05T11:32:42.373140, , 48.0
2024-08-05T11:32:53.420091, 19.600000381469727,
2024-08-05T11:32:53.987985, , 50.0
2024-08-05T11:33:24.721342, 19.700000762939453,
2024-08-05T11:33:44.958571, , 57.0
2024-08-05T11:33:46.979627, 19.799999237060547,
2024-08-05T11:33:47.982157, , 64.0
2024-08-05T11:33:48.988679, 20.0,
2024-08-05T11:33:49.989973, , 71.0
2024-08-05T11:33:50.993900, 20.299999237060547,
2024-08-05T11:33:52.009711, , 76.0
2024-08-05T11:33:53.001276, 20.5,
2024-08-05T11:33:54.006091, , 81.0
2024-08-05T11:33:55.019753, 20.700000762939453,
2024-08-05T11:33:56.022809, , 82.0
2024-08-05T11:33:58.049161, 20.799999237060547,
2024-08-05T11:33:59.062017, , 83.0
2024-08-05T11:34:00.064224, 21.0,
2024-08-05T11:34:01.077716, , 81.0
2024-08-05T11:34:02.093398, 21.100000381469727,
2024-08-05T11:34:03.098389, , 78.0
2024-08-05T11:34:04.101044, 21.200000762939453,
2024-08-05T11:34:05.101847, , 74.0
2024-08-05T11:34:06.103788, 21.299999237060547,
2024-08-05T11:34:07.097391, , 70.0
2024-08-05T11:34:09.158625, 21.5,
2024-08-05T11:34:10.112609, , 67.0
2024-08-05T11:34:11.114395, , 65.0
2024-08-05T11:34:12.210683, 21.600000381469727,
2024-08-05T11:34:13.125852, , 62.0
2024-08-05T11:34:14.235474, 21.700000762939453,
2024-08-05T11:34:15.139845, , 60.0
2024-08-05T11:34:16.154385, , 58.0
2024-08-05T11:34:18.302793, 21.799999237060547,
2024-08-05T11:34:19.228485, , 57.0
2024-08-05T11:34:21.336737, 21.899999618530273,
2024-08-05T11:34:22.261454, , 55.0
2024-08-05T11:34:23.276452, , 54.0
2024-08-05T11:34:24.278484, , 53.0
2024-08-05T11:34:25.342907, , 52.0
2024-08-05T11:34:27.432884, , 51.0
2024-08-05T11:34:30.520206, , 50.0
2024-08-05T11:34:33.678329, , 49.0
2024-08-05T11:34:37.886882, , 48.0
2024-08-05T11:34:39.960948, 21.799999237060547,
2024-08-05T11:34:41.981461, 21.899999618530273,
2024-08-05T11:34:44.065330, 21.799999237060547,
2024-08-05T11:34:46.138187, , 47.0
2024-08-05T11:34:48.214845, 21.899999618530273,
2024-08-05T11:34:52.350031, 21.799999237060547,
2024-08-05T11:34:58.695903, 21.700000762939453,
2024-08-05T11:35:00.773166, 21.799999237060547,
2024-08-05T11:35:03.851584, 21.700000762939453,
2024-08-05T11:35:04.855436, , 46.0
2024-08-05T11:35:17.548691, 21.5,
2024-08-05T11:35:19.621597, 21.600000381469727,
2024-08-05T11:35:20.636547, , 47.0
2024-08-05T11:35:21.651277, , 48.0
2024-08-05T11:35:25.802821, 21.5,
2024-08-05T11:35:26.807690, , 49.0
2024-08-05T11:35:27.811010, 21.600000381469727,
2024-08-05T11:35:28.812585, , 50.0
2024-08-05T11:35:29.826044, 21.5,
2024-08-05T11:35:30.837250, , 51.0
2024-08-05T11:35:31.842114, , 50.0
2024-08-05T11:35:37.047369, , 49.0
2024-08-05T11:35:40.178067, , 48.0
2024-08-05T11:35:42.257483, , 49.0
2024-08-05T11:35:50.708217, , 48.0
2024-08-05T11:35:56.000001, 21.399999618530273,
2024-08-05T11:35:57.006732, , 49.0
2024-08-05T11:36:00.096235, 21.5,
2024-08-05T11:36:03.254061, 21.399999618530273,
2024-08-05T11:36:10.609447, 21.299999237060547,
2024-08-05T11:36:11.611534, , 48.0
2024-08-05T11:36:12.626223, 21.399999618530273,
2024-08-05T11:36:14.691593, 21.299999237060547,
2024-08-05T11:36:18.913596, 21.200000762939453,
Timestamp, Temperature, Humidity
2024-08-05T11:38:27.373960, 20.600000381469727,
2024-08-05T11:38:27.427719, , 48.0
2024-08-05T11:38:33.401771, 20.5,
2024-08-05T11:38:41.153524, , 49.0
2024-08-05T11:38:43.235744, , 50.0
2024-08-05T11:38:49.524205, , 49.0
2024-08-05T11:39:18.195442, 20.399999618530273,
2024-08-05T11:39:19.200371, , 48.0
2024-08-05T11:39:22.267432, , 49.0
2024-08-05T11:39:24.337851, , 48.0
2024-08-05T11:39:28.539526, , 49.0
2024-08-05T11:39:30.620547, 20.299999237060547,
2024-08-05T11:39:31.627049, , 48.0
2024-08-05T11:39:33.633245, , 49.0
2024-08-05T11:39:36.770913, 20.399999618530273,
2024-08-05T11:39:37.772027, , 55.0
2024-08-05T11:39:38.773437, 20.5,
2024-08-05T11:39:39.777847, , 61.0
2024-08-05T11:39:40.791265, , 62.0
2024-08-05T11:39:42.817145, , 61.0
2024-08-05T11:39:44.892393, 20.600000381469727,
2024-08-05T11:39:45.897945, , 59.0
2024-08-05T11:39:46.911069, , 58.0
2024-08-05T11:39:48.977379, , 56.0
2024-08-05T11:39:51.068636, , 55.0
2024-08-05T11:39:53.073752, 20.700000762939453,
2024-08-05T11:39:54.086618, , 54.0
2024-08-05T11:39:55.101361, , 53.0
2024-08-05T11:39:57.182794, , 52.0
2024-08-05T11:40:04.532539, , 51.0
2024-08-05T11:40:07.678264, , 50.0
2024-08-05T11:40:12.935628, , 49.0
